Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,10113549.0,10234847.0,9742992.0,10592022.0,10901830.0,10399573.0,11506681.0,11758077.0,12121405.0,10828969.0,10220935.0,11686546.0,12663087.0,13036403.0,13516473.0,14225312.0,12223263.0,13131110.0,12743779.0,12333351.0,11927355.0,11484341.0,11148357.0,10748548.0,10212743.0,9728989.0,10158984.0,9388099.0,8922794.0,8827277.0,10670914.0,10039239.0,11054133.0,11427049.0,11696330.0,11711149.0,12624955.0,13068393.0,11753144.0,8987504.0,9358578.0,12718728.0,14342994.0,12298052.0,16662489.0,15318345.0,17754795.0,13970524.0,19773507.0,18198286.0,15028628.0,18610143.0,18960688.0,20555970.0,18873782.0,20843836.0,18236342.0,16116509.0
Africa,391312625.0,418916638.0,436200041.0,435174845.0,443045962.0,449988038.0,496669911.0,496557716.0,522037640.0,539258798.0,558104224.0,554972828.0,544152649.0,595691381.0,601784263.0,610268161.0,601735514.0,614860851.0,612802818.0,622040506.0,658820881.0,659970711.0,635995319.0,666473265.0,714280523.0,749206488.0,747341233.0,791559173.0,820215711.0,829168034.0,917859210.0,878384950.0,907429007.0,948188471.0,944013570.0,1044328714.0,1029494739.0,1076966616.0,1106908672.0,1114225981.0,1142431389.0,1184373507.0,1244724230.0,1283996337.0,1340134108.0,1397146935.0,1359284211.0,1424096002.0,1443667731.0,1532234824.0,1547664331.0,1653275128.0,1711695373.0,1791350265.0,1806139502.0,1792856893.0,1826431570.0,1863757708.0
Albania,1457890.0,1492989.0,1498687.0,1819849.0,1631458.0,2067176.0,2186550.0,2290877.0,2288406.0,2427318.0,2447188.0,2586275.0,2768135.0,2848570.0,2924346.0,3397062.0,3527432.0,3672951.0,4055230.0,3776635.0,3968614.0,4179012.0,4609255.0,4321921.0,4050767.0,4128108.0,4043422.0,3555787.0,4265239.0,3609949.0,2271847.0,2471015.0,3059778.0,3175700.0,3221758.0,3115644.0,3168387.0,3336105.0,3026719.0,3248885.0,3247491.0,3263445.0,3244946.0,3363344.0,3413271.0,3504010.0,3455637.0,3960304.0,4163258.0,4619346.0,4866328.0,5061525.0,5037725.0,5121543.0,5327464.0,5587027.0,5659196.0,5656179.0
Algeria,8995374.0,11643943.0,11607479.0,9515993.0,10716162.0,6654969.0,8467948.0,10918753.0,10116991.0,10654730.0,10433251.0,10498697.0,9058590.0,9501132.0,12408232.0,10872769.0,7938349.0,8462737.0,9427590.0,11173786.0,10171090.0,8428306.0,8433652.0,9465688.0,13922901.0,13420944.0,12716907.0,10249465.0,12886048.0,10952838.0,17586277.0,17723073.0,14180674.0,11836964.0,15661846.0,21760242.0,12751454.0,17819448.0,17298183.0,13409136.0,17307009.0,17378262.0,24743449.0,26275674.0,26829396.0,28854046.0,25423044.0,24016869.0,35542396.0,36600450.0,40553818.0,43812523.0,47780362.0,44857562.0,46343806.0,45009279.0,45472071.0,52568080.0
American Samoa,25852.0,28171.0,30650.0,27292.0,25414.0,26731.0,28015.0,27681.0,28636.0,27050.0,25465.0,24821.0,24587.0,23487.0,23186.0,22349.0,21966.0,20982.0,17742.0,19542.0,19527.0,19715.0,19518.0,18700.0,18104.0,18570.0,17509.0,17666.0,17709.0,18934.0,18015.0,18471.0,20814.0,22216.0,23402.0,25182.0,26203.0,35133.0,24864.0,28475.0,31958.0,33459.0,36243.0,35346.0,37669.0,38490.0,39257.0,40177.0,41601.0,41952.0,41880.0,40835.0,44167.0,44040.0,43416.0,43724.0,44107.0,44581.0
Americas,1359842237.0,1375089192.0,1441829344.0,1458833503.0,1591423389.0,1596787363.0,1678029682.0,1684666529.0,1711173942.0,1778467446.0,1874233323.0,1856154040.0,1937866043.0,1883664873.0,2048629026.0,2108150243.0,2232082328.0,2305580634.0,2417909980.0,2344489024.0,2564370051.0,2672798302.0,2370029179.0,2683949576.0,2842921157.0,2769408721.0,2810036165.0,2588215407.0,2820090040.0,2912134660.0,2880307680.0,3076351738.0,2781107383.0,3189920119.0,3068307522.0,3241201367.0,3368981443.0,3463027336.0,3447216178.0,3490905235.0,3511676067.0,3505744877.0,3768262308.0,3975088744.0,3924084029.0,4012287904.0,4367089602.0,4602148937.0,4637106226.0,4786186294.0,4833539731.0,4765607300.0,5232486418.0,5266837139.0,5362954985.0,5543192816.0,5601910020.0,5540544222.0
Angola,7079788.0,7366543.0,7313285.0,7576444.0,7783137.0,7946854.0,8146063.0,8149859.0,8686016.0,8875386.0,9044710.0,8782157.0,9245117.0,8214169.0,7449334.0,7453624.0,7065342.0,7058139.0,6481713.0,6284303.0,6023515.0,5917928.0,6027722.0,6124334.0,6295925.0,6640613.0,6803760.0,6814508.0,6756295.0,6708679.0,7254525.0,7720207.0,7437294.0,8738034.0,9196177.0,9430582.0,8951495.0,11206957.0,10686578.0,13517498.0,16352162.0,19357748.0,20985076.0,24727666.0,26140882.0,26741574.0,30314815.0,31627252.0,40597924.0,43227108.0,46386944.0,35693453.0,52392489.0,38059958.0,39110694.0,42634714.0,41758945.0,40182748.0
Antigua and Barbuda,380516.0,408165.0,531815.0,531864.0,283321.0,174140.0,114497.0,38813.0,95480.0,98374.0,285538.0,18224.0,17165.0,16043.0,17226.0,17546.0,17232.0,18544.0,20333.0,26711.0,28637.0,32720.0,21328.0,20002.0,22931.0,23319.0,24357.0,25763.0,21383.0,22864.0,24538.0,24929.0,24571.0,24450.0,23750.0,24394.0,24885.0,24687.0,25319.0,25324.0,25184.0,26357.0,26888.0,27826.0,21808.0,23327.0,24900.0,25824.0,26246.0,26717.0,26964.0,26474.0,26872.0,27161.0,27652.0,28031.0,28226.0,28393.0
Argentina,72614109.0,72067032.0,83243579.0,89616836.0,82538636.0,84383250.0,85560437.0,78560428.0,86516953.0,90377012.0,95216649.0,90080755.0,109469383.0,114064120.0,108708459.0,115229398.0,113653824.0,122984299.0,123568423.0,115829729.0,133416406.0,146470257.0,141876815.0,150542265.0,142603240.0,142489434.0,133469334.0,144724351.0,121913429.0,142172929.0,156650896.0,159054691.0,149076536.0,156550430.0,175601123.0,169664515.0,197511574.0,229042940.0,212985355.0,223419861.0,235649014.0,241576904.0,255090058.0,247462087.0,292210294.0,284999417.0,320196555.0,330390799.0,240280683.0,316535912.0,338412340.0,301339662.0,342336781.0,348676624.0,380242480.0,379769411.0,401712564.0,342230364.0
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2865999.0,2713092.0,2902020.0,2954280.0,3111651.0,2520174.0,2890110.0,2865040.0,2353389.0,2873852.0,3039113.0,3373864.0,4038799.0,4475828.0,4347643.0,5192201.0,5211511.0,5114409.0,4102133.0,4986554.0,5575348.0,5859813.0,6243980.0,6423350.0,5679204.0,5008499.0,4038331.0
